"","Duration..in.seconds.","Q291","MCQ_1","MCQ_2","MCQ_3","MCQ_4","MCQ_5","MCQ_6","MCQ_7","MCQ_8","MCQ_9","MCQ_10","MCQ_11","MCQ_12","MCQ_13","MCQ_14","MCQ_15","MCQ_16","MCQ_17","MCQ_18","MCQ_19","MCQ_20","MCQ_21","MCQ_22","MCQ_23","MCQ_24","MCQ_25","MCQ_26","MCQ_27","COVID_DoG_Questions.1_1","COVID_DoG_Questions.1_2","COVID_DoG_Questions.1_3","COVID_DoG_Questions.1_4","COVID_DoG_Questions.1_5","COVID_DoG_Questions.1_6","COVID_DoG_Questions.2_1","COVID_DoG_Questions.2_2","COVID_DoG_Questions.2_3","COVID_DoG_Questions.2_4","COVID_DoG_Questions.2_5","COVID_DoG_Questions.2_6","PandemicLengthExpect.1_1","PandemicLengthExpect.2_1","COVID_DoG_Questions.1","COVID_DoG_Questions.2","COVID_DoG_Questions.3","COVID_DoG_Questions.4","COVID_DoG_Questions.5","COVID_DoG_Questions.6","PandemicLengthExpect.1","SocialNorms_Family_1","SocialNorms_Family_2","SocialNorms_Family_3","SocialNorms_Friends_1","SocialNorms_Friends_2","SocialNorms_Friends_3","SocialNorms_Stranger_1","SocialNorms_Stranger_2","SocialNorms_Stranger_3","PerceivedRisk_1","PerceivedRisk_2","PerceivedRisk_3","PerceivedRisk_4","PerceivedRisk_5","PerceivedRisk_6","PerceivedValue_1","PerceivedValue_2","PerceivedValue_3","PerceivedValue_4","PerceivedValue_5","PerceivedValue_6","GCS_1","GCS_2","GCS_3","attentioncheck_1","GCS_4","GCS_5","GCS_6","IUS_1","IUS_2","IUS_3","IUS_4","IUS_5","IUS_6","IUS_7","IUS_8","IUS_9","IUS_10","IUS_11","IUS_12","MFQpart1_1","MFQpart1_2","MFQpart1_3","MFQpart1_4","MFQpart1_5","MFQpart1_6","MFQpart1_7","MFQpart1_8","MFQpart1_9","MFQpart1_10","MFQpart1_11","MFQpart1_12","MFQpart1_13","MFQpart1_14","MFQpart1_15","MFQpart1_16","MFQ_part2_1","MFQ_part2_2","MFQ_part2_3","MFQ_part2_4","MFQ_part2_5","MFQ_part2_6","MFQ_part2_7","MFQ_part2_8","MFQ_part2_9","MFQ_part2_10","MFQ_part2_11","MFQ_part2_12","MFQ_part2_13","MFQ_part2_14","MFQ_part2_15","MFQ_part2_16","Disgust_1","Disgust_2","Disgust_3","Disgust_4","Disgust_5","Disgust_6","Disgust_7","Disgust_8","Disgust_9","Disgust_10","Disgust_11","Disgust_12","Disgust_13","Disgust_14","Disgust_15","Disgust_16","Disgust_17","Disgust_18","Disgust_19","Disgust_20","Disgust_21","SDRS.5_Q1","SDRS.5_Q2","SDRS.5_Q3","SDRS.5_Q4","SDRS.5_Q5","Worries_1","Worries_2","Worries_3","Worries_4","Worries_5","Worries_6","Worries_7","Worries_8","Worries_9","Worries_10","Worries_11","Worries_12","Worries_13","Worries_14","Worries_15","Worries_16","Worries_17","Worries_18","Worries_19","Worries_20","Worries_21","Worries_22","Worries_23","Worries_24","Problems_1","Problems_2","Problems_3","Problems_4","Problems_5","Problems_6","CheckingBeh_1","CheckingBeh_2","CheckingBeh_3","CheckingBeh_4","CheckingBeh_5","CheckingBeh_6","Impacts_financial1","Impacts_financial2","Impacts_financial3","Impacts_resource1","Impacts_resource2","Impacts_resource3","Impacts_psychology1","Impacts_psychology2","Impacts_psychology3","PersonalDiagnoses_1","PersonalDiagnoses_2","PersonalDiagnoses_3","Proximity_1","attentioncheck_2","Proximity_2","News_1","News_2","Age","Gender","MaritalStatus","Ethnicity","Race","Nationality","Education","Occupation","Measure2_2","Measure2_3","Measure2_4","Measure5_1","Measure5_4","Measure5_5","Measure5_6","Measure5_7","Measure5_8","Measure5_9","Measure5_10","Measure5_11","Measure5_12","Measure5_13","Measure5_14"
"24",547,"1","1","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","7","7","7","4","4","4","3","3","3","3","3","3","4","2",210,210,210,120,120,120,730,"2","2","2","2","2","2","2","2","2","3","3","3","2","2","2","3","1","3","2","2","2","4","3","2","4","3","3","3","2","2","1","2","1","1","2","2","2","1","1","1","4","4","1","2","1","1","5","5","3","2","2","5","5","2","2","1","4","4","1","2","2","6","5","3","1","1","2","2","6","3","2","2","1","1","2","1","1","2","1","1","2","2","2","2","1","1","2","2","4","2","1","1","1","3","4","4","3","3","2","1","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","5","2","2","5","2","3","3","1","1","1","1","3","1","2","1","48","2","3","2","5","USA","5","team leader, financial services","2","1","1","100","42","18","0","100","50","0","0","21","0","0","0"
"25",572,"1","1","2","1","2","2","1","2","2","1","2","2","1","1","2","2","1","1","2","2","1","2","1","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,1,1,1,1,1,1,"6","6","6","6","6","6","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","4","2","5","2","4","3","2","4","4","2","2","3","4","2","4","2","2","2","2","3","4","1","2","3","2","3","3","4","3","3","3","4","4","4","6","5","5","6","2","4","3","4","5","1","1","3","4","4","1","1","3","1","1","2","2","1","2","3","1","1","2","1","3","2","1","2","3","1","3","2","3","2","2","4","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","1","1","7","1","1","7","1","1","1","1","3","1","1","1","39","1","2","2","5","USA","5","Logistics","1","5","4","1","100","68","74","23","100","100","100","100","100","100","100"
"26",683,"1","1","2","1","2","1","1","2","2","1","2","1","1","1","1","1","1","1","1","2","1","1","1","2","1","2","1","1","7","7","4","14","16","1","2","3","2","1","1","1","3","9",49,210,28,14,16,1,270,"7","7","7","7","7","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","6","1","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","5","6","1","4","4","4","4","6","6","4","4","5","6","5","4","6","6","6","6","6","4","3","6","6","3","3","4","6","5","2","3","6","4","1","5","3","3","5","5","4","5","3","3","6","4","6","6","3","1","6","2","2","4","2","4","1","1","1","1","1","1","1","1","1","1","1","1","2","3","2","2","2","3","1","1","1","1","1","1","1","1","1","1","1","1","1","5","3","1","1","1","1","1","7","1","1","7","1","1","7","1","1","1","1","3","1","4","7","37","2","2","2","5","United States","4","manufacturing","1","1","1","54","92","88","89","2","86","86","87","89","42","87","67"
"27",587,"1","1","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","13","13","13","13","7","7","3","3","3","3","3","3","3","13",390,390,390,390,210,210,390,"2","1","1","2","2","2","4","4","4","3","3","3","2","2","1","3","1","1","2","2","2","6","6","5","4","6","1","6","1","2","1","3","1","1","1","2","2","1","2","1","3","2","3","3","4","1","4","4","3","5","2","4","4","3","3","6","5","5","6","5","4","6","5","5","5","4","4","1","1","3","5","6","2","2","2","3","1","3","4","1","2","4","1","2","5","4","2","2","3","1","5","6","4","4","5","5","2","4","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","1","1","1","6","1","1","7","1","1","1","7","3","7","2","1","41","1","2","2","5","American","6","business analyst","1","5","2","0","100","95","100","25","100","100","100","100","95","100","100"
"28",629,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","1","2","1","2","2","2","2","2","7","7","4","4","4","4","3","3","4","2",730,730,730,730,210,210,730,"1","1","1","1","1","1","4","4","4","2","3","3","2","2","1","3","1","1","2","2","2","4","4","4","4","4","4","2","5","5","5","5","4","4","5","4","5","4","4","4","6","6","1","4","1","1","6","6","2","1","1","6","6","2","6","1","5","6","1","4","1","5","5","6","4","1","1","4","2","4","6","1","3","1","3","5","1","2","1","1","2","3","1","2","3","1","2","3","1","3","3","1","5","1","4","5","4","2","4","4","4","4","4","3","1","2","2","1","1","1","1","1","1","1","1","1","3","3","4","2","2","1","1","1","1","1","1","1","2","1","1","3","1","2","1","1","7","1","1","7","1","1","7","1","1","1","1","3","1","4","4","26","1","1","2","5","American","3","Unemployed","5","1","1","90","100","0","20","50","0","50","50","90","20","50","50"
"29",691,"1","1","1","1","2","1","1","1","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","4","2","3","6","3","3","1","2","2","2","2","1","4","2",4,14,21,42,21,3,730,"5","4","3","4","5","4","1","1","1","1","2","1","1","1","1","1","3","2","2","3","2","5","4","4","4","4","5","4","2","2","1","4","3","1","1","2","2","1","2","1","5","6","3","4","2","1","6","6","2","2","2","6","6","2","5","1","5","6","6","5","2","6","6","5","2","6","2","1","2","3","4","5","4","3","5","6","1","5","6","2","3","5","3","4","6","1","5","4","5","4","5","2","4","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","5","1","2","1","1","6","1","1","7","1","1","1","1","3","1","2","1","47","2","1","2","5","American","5","writer","2","2","1","60","75","100","0","0","100","70","75","100","5","100","100"
"30",645,"1","1","2","2","2","2","1","2","2","1","2","2","2","1","2","2","2","1","2","2","1","2","1","2","1","2","1","2","4","10","11","4","3","4","3","3","3","3","3","2","3","11",120,300,330,120,90,28,330,"1","1","1","1","1","1","1","1","1","3","3","3","3","3","2","3","2","2","3","3","3","6","6","6","4","6","6","4","4","4","4","5","4","4","4","5","4","4","4","4","6","6","4","4","5","1","5","6","4","5","5","6","6","3","6","6","4","6","6","4","6","6","3","6","1","4","4","6","1","1","1","6","6","6","6","6","1","6","6","6","6","6","6","6","6","6","6","6","6","4","6","6","6","2","3","5","5","1","5","5","5","6","5","5","1","1","1","1","1","1","5","3","3","3","5","3","3","5","5","5","5","5","1","1","1","1","1","1","4","4","5","5","3","5","7","7","1","1","7","1","7","7","1","1","1","1","1","3","1","5","5","43","2","2","2","2","usa","5","customer service rep","1","4","1","1","61","81","99","99","2","99","99","80","69","100","99"
"31",539,"1","1","2","2","2","2","1","2","2","1","2","1","2","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","7","7","7","7","3","1","3","3","3","3","3","1","3","7",210,210,210,210,90,1,210,"2","2","4","4","4","4","2","2","4","3","3","2","3","2","1","1","1","3","2","3","3","4","4","3","4","3","4","4","2","3","3","2","1","2","2","1","1","2","1","1","3","4","1","2","1","1","3","4","3","1","1","5","5","3","2","1","5","5","2","3","2","6","6","5","3","2","1","5","3","3","5","2","2","1","4","4","1","3","1","1","1","3","1","1","1","1","3","3","4","3","3","1","3","2","2","2","2","2","3","2","3","2","3","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","2","2","1","1","1","1","1","1","1","2","1","1","3","1","2","3","1","6","1","1","6","3","4","4","1","1","1","1","3","1","2","1","27","2","1","2","5","American","4","educational services","4","1","1","92","51","19","16","66","50","51","33","51","36","51","19"
"32",720,"1","1","2","1","2","2","1","2","2","1","2","2","1","1","2","1","1","1","2","2","1","2","1","2","1","2","1","2","13","3","7","7","7","7","3","4","3","3","3","3","3","9",390,1095,210,210,210,210,270,"2","2","2","3","2","2","2","2","2","3","3","2","2","2","1","1","1","1","2","2","2","3","3","2","4","3","5","2","2","3","3","3","2","1","1","2","2","3","5","2","3","5","2","2","2","1","6","2","2","1","2","3","6","2","4","1","6","6","1","4","2","6","6","4","1","1","2","2","1","1","1","1","4","1","2","6","1","6","3","1","6","4","2","2","6","1","5","2","6","4","6","1","5","4","2","2","2","4","5","5","5","6","5","2","1","3","2","1","2","1","1","3","1","1","1","3","5","5","5","5","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","1","1","7","1","4","1","1","7","7","1","3","1","1","1","34","2","2","2","1","American","5","Self-employed","3","1","1","100","20","59","1","80","80","50","50","50","80","50","50"
"33",488,"1","1","2","2","1","1","2","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","5","8","9","3","3","3","3","3","3","3","3","3","3","3",150,240,270,90,90,90,90,"5","6","6","5","6","6","7","6","5","3","3","3","2","3","2","2","3","3","2","2","3","5","5","4","4","5","4","5","3","4","3","3","4","3","2","3","3","3","4","4","4","5","5","4","3","2","3","5","3","5","5","5","2","3","4","2","5","5","5","3","4","4","5","5","3","4","3","2","5","4","5","3","3","3","4","5","3","4","3","2","2","5","3","5","5","2","4","5","5","5","4","2","4","4","2","2","2","4","3","2","2","3","2","3","2","2","2","3","2","1","2","2","2","2","1","2","3","2","3","2","2","3","3","2","3","2","2","3","3","2","3","4","3","3","5","3","6","5","5","3","5","4","2","1","1","1","1","3","1","5","3","23","2","1","2","5","usa","5","buyer","5","1","1","98","47","91","8","21","15","62","27","33","18","16","18"
"34",760,"1","1","2","2","2","2","2","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","1","2","1","2","1","2","13","13","13","7","7","4","3","3","3","3","3","3","3","13",390,390,390,210,210,120,390,"1","1","1","1","1","1","1","1","1","3","3","3","2","2","1","2","1","3","3","2","2","5","4","5","4","4","5","2","4","3","3","4","4","4","4","4","4","3","4","2","4","4","2","1","4","1","5","5","4","4","5","5","4","4","5","1","5","3","3","3","4","4","5","5","3","3","4","4","5","4","3","3","1","3","5","3","1","2","1","1","3","4","4","5","2","1","2","1","2","4","1","2","4","2","2","3","2","2","4","4","4","4","4","4","4","7","4","2","4","1","3","3","2","1","1","2","4","3","4","4","4","3","3","3","3","3","3","3","3","2","3","3","2","3","2","1","4","5","5","2","1","1","5","1","1","1","1","3","1","3","1","24","2","1","2","2","USA","5","Engineer","5","1","3","100","58","35","0","52","5","0","0","50","58","12","17"
"35",641,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","4","1","1","4","4","1","3","1","1","3","11",730,730,1,120,1,1,330,"2","2","2","2","2","2","2","2","2","3","3","1","3","3","3","3","1","2","2","2","3","1","1","1","4","1","6","1","4","4","4","3","5","4","4","2","3","4","2","2","6","6","3","4","6","1","6","6","5","4","5","6","6","5","6","6","6","6","3","5","6","6","6","6","4","4","6","6","6","5","2","6","3","4","6","5","6","5","4","6","5","4","6","6","4","6","6","5","6","4","5","6","4","2","3","3","2","4","5","4","4","4","4","4","1","2","2","3","2","2","2","3","3","1","1","2","5","5","5","5","5","5","3","3","3","3","3","2","3","1","3","3","3","3","2","2","7","2","2","7","4","3","5","1","1","1","1","3","1","4","2","40","2","2","2","5","American","4","Student","3","2","1","2","51","49","99","80","1","100","87","97","99","99","49"
